Entry,Majority protein IDs,Fasta headers,Unique peptides R1,Unique peptides R2,Unique peptides R3,Ratio H/L normalized R1,Ratio H/L normalized R2,Ratio H/L normalized R3,Log2FC,Pvalue,FDR
Q13887,sp|O75362|ZN217_HUMAN;sp|Q6ZT77|ZN826_HUMAN;sp|P36508|ZNF76_HUMAN;sp|P51814|ZNF41_HUMAN;sp|Q2M218|ZN630_HUMAN;sp|O95125|ZN202_HUMAN;sp|Q8N184|ZN567_HUMAN;sp|P17025|ZN182_HUMAN;sp|Q7Z7L9|ZSCA2_HUMAN;sp|Q9NPC7|MYNN_HUMAN;sp|Q96RE9|ZN300_HUMAN;sp|O95780|ZN682_HUMAN;sp|P52743|ZN137_HUMAN;sp|Q13360|ZN177_HUMAN;sp|Q13887|KLF5_HUMAN;sp|Q8IZC7|ZN101_HUMAN;sp|Q9Y4X4|KLF12_HUMAN;sp|Q9UJN7|ZN391_HUMAN;sp|Q9H4T2|ZSC16_HUMAN;sp|P57682|KLF3_HUMAN;sp|Q96N95|ZN396_HUMAN;sp|O75840|KLF7_HUMAN;sp|Q92618|ZN516_HUMAN,sp|O75362|ZN217_HUMAN;Zinc finger protein 217 OS=Homo sapiens OX=9606 GN=ZNF217 PE=1 SV=1;sp|Q6ZT77|ZN826_HUMAN;Putative zinc finger protein 826 OS=Homo sapiens OX=9606 GN=ZNF826P PE=5 SV=2;sp|P36508|ZNF76_HUMAN;Zinc finger protein 76 OS=Homo sapiens OX=96,0,0,0,,,,,,
Q8IZC7,sp|O75362|ZN217_HUMAN;sp|Q6ZT77|ZN826_HUMAN;sp|P36508|ZNF76_HUMAN;sp|P51814|ZNF41_HUMAN;sp|Q2M218|ZN630_HUMAN;sp|O95125|ZN202_HUMAN;sp|Q8N184|ZN567_HUMAN;sp|P17025|ZN182_HUMAN;sp|Q7Z7L9|ZSCA2_HUMAN;sp|Q9NPC7|MYNN_HUMAN;sp|Q96RE9|ZN300_HUMAN;sp|O95780|ZN682_HUMAN;sp|P52743|ZN137_HUMAN;sp|Q13360|ZN177_HUMAN;sp|Q13887|KLF5_HUMAN;sp|Q8IZC7|ZN101_HUMAN;sp|Q9Y4X4|KLF12_HUMAN;sp|Q9UJN7|ZN391_HUMAN;sp|Q9H4T2|ZSC16_HUMAN;sp|P57682|KLF3_HUMAN;sp|Q96N95|ZN396_HUMAN;sp|O75840|KLF7_HUMAN;sp|Q92618|ZN516_HUMAN,sp|O75362|ZN217_HUMAN;Zinc finger protein 217 OS=Homo sapiens OX=9606 GN=ZNF217 PE=1 SV=1;sp|Q6ZT77|ZN826_HUMAN;Putative zinc finger protein 826 OS=Homo sapiens OX=9606 GN=ZNF826P PE=5 SV=2;sp|P36508|ZNF76_HUMAN;Zinc finger protein 76 OS=Homo sapiens OX=96,0,0,0,,,,,,
Q9Y4X4,sp|O75362|ZN217_HUMAN;sp|Q6ZT77|ZN826_HUMAN;sp|P36508|ZNF76_HUMAN;sp|P51814|ZNF41_HUMAN;sp|Q2M218|ZN630_HUMAN;sp|O95125|ZN202_HUMAN;sp|Q8N184|ZN567_HUMAN;sp|P17025|ZN182_HUMAN;sp|Q7Z7L9|ZSCA2_HUMAN;sp|Q9NPC7|MYNN_HUMAN;sp|Q96RE9|ZN300_HUMAN;sp|O95780|ZN682_HUMAN;sp|P52743|ZN137_HUMAN;sp|Q13360|ZN177_HUMAN;sp|Q13887|KLF5_HUMAN;sp|Q8IZC7|ZN101_HUMAN;sp|Q9Y4X4|KLF12_HUMAN;sp|Q9UJN7|ZN391_HUMAN;sp|Q9H4T2|ZSC16_HUMAN;sp|P57682|KLF3_HUMAN;sp|Q96N95|ZN396_HUMAN;sp|O75840|KLF7_HUMAN;sp|Q92618|ZN516_HUMAN,sp|O75362|ZN217_HUMAN;Zinc finger protein 217 OS=Homo sapiens OX=9606 GN=ZNF217 PE=1 SV=1;sp|Q6ZT77|ZN826_HUMAN;Putative zinc finger protein 826 OS=Homo sapiens OX=9606 GN=ZNF826P PE=5 SV=2;sp|P36508|ZNF76_HUMAN;Zinc finger protein 76 OS=Homo sapiens OX=96,0,0,0,,,,,,
Q9UJN7,sp|O75362|ZN217_HUMAN;sp|Q6ZT77|ZN826_HUMAN;sp|P36508|ZNF76_HUMAN;sp|P51814|ZNF41_HUMAN;sp|Q2M218|ZN630_HUMAN;sp|O95125|ZN202_HUMAN;sp|Q8N184|ZN567_HUMAN;sp|P17025|ZN182_HUMAN;sp|Q7Z7L9|ZSCA2_HUMAN;sp|Q9NPC7|MYNN_HUMAN;sp|Q96RE9|ZN300_HUMAN;sp|O95780|ZN682_HUMAN;sp|P52743|ZN137_HUMAN;sp|Q13360|ZN177_HUMAN;sp|Q13887|KLF5_HUMAN;sp|Q8IZC7|ZN101_HUMAN;sp|Q9Y4X4|KLF12_HUMAN;sp|Q9UJN7|ZN391_HUMAN;sp|Q9H4T2|ZSC16_HUMAN;sp|P57682|KLF3_HUMAN;sp|Q96N95|ZN396_HUMAN;sp|O75840|KLF7_HUMAN;sp|Q92618|ZN516_HUMAN,sp|O75362|ZN217_HUMAN;Zinc finger protein 217 OS=Homo sapiens OX=9606 GN=ZNF217 PE=1 SV=1;sp|Q6ZT77|ZN826_HUMAN;Putative zinc finger protein 826 OS=Homo sapiens OX=9606 GN=ZNF826P PE=5 SV=2;sp|P36508|ZNF76_HUMAN;Zinc finger protein 76 OS=Homo sapiens OX=96,0,0,0,,,,,,
Q9H4T2,sp|O75362|ZN217_HUMAN;sp|Q6ZT77|ZN826_HUMAN;sp|P36508|ZNF76_HUMAN;sp|P51814|ZNF41_HUMAN;sp|Q2M218|ZN630_HUMAN;sp|O95125|ZN202_HUMAN;sp|Q8N184|ZN567_HUMAN;sp|P17025|ZN182_HUMAN;sp|Q7Z7L9|ZSCA2_HUMAN;sp|Q9NPC7|MYNN_HUMAN;sp|Q96RE9|ZN300_HUMAN;sp|O95780|ZN682_HUMAN;sp|P52743|ZN137_HUMAN;sp|Q13360|ZN177_HUMAN;sp|Q13887|KLF5_HUMAN;sp|Q8IZC7|ZN101_HUMAN;sp|Q9Y4X4|KLF12_HUMAN;sp|Q9UJN7|ZN391_HUMAN;sp|Q9H4T2|ZSC16_HUMAN;sp|P57682|KLF3_HUMAN;sp|Q96N95|ZN396_HUMAN;sp|O75840|KLF7_HUMAN;sp|Q92618|ZN516_HUMAN,sp|O75362|ZN217_HUMAN;Zinc finger protein 217 OS=Homo sapiens OX=9606 GN=ZNF217 PE=1 SV=1;sp|Q6ZT77|ZN826_HUMAN;Putative zinc finger protein 826 OS=Homo sapiens OX=9606 GN=ZNF826P PE=5 SV=2;sp|P36508|ZNF76_HUMAN;Zinc finger protein 76 OS=Homo sapiens OX=96,0,0,0,,,,,,
P57682,sp|O75362|ZN217_HUMAN;sp|Q6ZT77|ZN826_HUMAN;sp|P36508|ZNF76_HUMAN;sp|P51814|ZNF41_HUMAN;sp|Q2M218|ZN630_HUMAN;sp|O95125|ZN202_HUMAN;sp|Q8N184|ZN567_HUMAN;sp|P17025|ZN182_HUMAN;sp|Q7Z7L9|ZSCA2_HUMAN;sp|Q9NPC7|MYNN_HUMAN;sp|Q96RE9|ZN300_HUMAN;sp|O95780|ZN682_HUMAN;sp|P52743|ZN137_HUMAN;sp|Q13360|ZN177_HUMAN;sp|Q13887|KLF5_HUMAN;sp|Q8IZC7|ZN101_HUMAN;sp|Q9Y4X4|KLF12_HUMAN;sp|Q9UJN7|ZN391_HUMAN;sp|Q9H4T2|ZSC16_HUMAN;sp|P57682|KLF3_HUMAN;sp|Q96N95|ZN396_HUMAN;sp|O75840|KLF7_HUMAN;sp|Q92618|ZN516_HUMAN,sp|O75362|ZN217_HUMAN;Zinc finger protein 217 OS=Homo sapiens OX=9606 GN=ZNF217 PE=1 SV=1;sp|Q6ZT77|ZN826_HUMAN;Putative zinc finger protein 826 OS=Homo sapiens OX=9606 GN=ZNF826P PE=5 SV=2;sp|P36508|ZNF76_HUMAN;Zinc finger protein 76 OS=Homo sapiens OX=96,0,0,0,,,,,,
Q96N95,sp|O75362|ZN217_HUMAN;sp|Q6ZT77|ZN826_HUMAN;sp|P36508|ZNF76_HUMAN;sp|P51814|ZNF41_HUMAN;sp|Q2M218|ZN630_HUMAN;sp|O95125|ZN202_HUMAN;sp|Q8N184|ZN567_HUMAN;sp|P17025|ZN182_HUMAN;sp|Q7Z7L9|ZSCA2_HUMAN;sp|Q9NPC7|MYNN_HUMAN;sp|Q96RE9|ZN300_HUMAN;sp|O95780|ZN682_HUMAN;sp|P52743|ZN137_HUMAN;sp|Q13360|ZN177_HUMAN;sp|Q13887|KLF5_HUMAN;sp|Q8IZC7|ZN101_HUMAN;sp|Q9Y4X4|KLF12_HUMAN;sp|Q9UJN7|ZN391_HUMAN;sp|Q9H4T2|ZSC16_HUMAN;sp|P57682|KLF3_HUMAN;sp|Q96N95|ZN396_HUMAN;sp|O75840|KLF7_HUMAN;sp|Q92618|ZN516_HUMAN,sp|O75362|ZN217_HUMAN;Zinc finger protein 217 OS=Homo sapiens OX=9606 GN=ZNF217 PE=1 SV=1;sp|Q6ZT77|ZN826_HUMAN;Putative zinc finger protein 826 OS=Homo sapiens OX=9606 GN=ZNF826P PE=5 SV=2;sp|P36508|ZNF76_HUMAN;Zinc finger protein 76 OS=Homo sapiens OX=96,0,0,0,,,,,,
O75840,sp|O75362|ZN217_HUMAN;sp|Q6ZT77|ZN826_HUMAN;sp|P36508|ZNF76_HUMAN;sp|P51814|ZNF41_HUMAN;sp|Q2M218|ZN630_HUMAN;sp|O95125|ZN202_HUMAN;sp|Q8N184|ZN567_HUMAN;sp|P17025|ZN182_HUMAN;sp|Q7Z7L9|ZSCA2_HUMAN;sp|Q9NPC7|MYNN_HUMAN;sp|Q96RE9|ZN300_HUMAN;sp|O95780|ZN682_HUMAN;sp|P52743|ZN137_HUMAN;sp|Q13360|ZN177_HUMAN;sp|Q13887|KLF5_HUMAN;sp|Q8IZC7|ZN101_HUMAN;sp|Q9Y4X4|KLF12_HUMAN;sp|Q9UJN7|ZN391_HUMAN;sp|Q9H4T2|ZSC16_HUMAN;sp|P57682|KLF3_HUMAN;sp|Q96N95|ZN396_HUMAN;sp|O75840|KLF7_HUMAN;sp|Q92618|ZN516_HUMAN,sp|O75362|ZN217_HUMAN;Zinc finger protein 217 OS=Homo sapiens OX=9606 GN=ZNF217 PE=1 SV=1;sp|Q6ZT77|ZN826_HUMAN;Putative zinc finger protein 826 OS=Homo sapiens OX=9606 GN=ZNF826P PE=5 SV=2;sp|P36508|ZNF76_HUMAN;Zinc finger protein 76 OS=Homo sapiens OX=96,0,0,0,,,,,,
Q92618,sp|O75362|ZN217_HUMAN;sp|Q6ZT77|ZN826_HUMAN;sp|P36508|ZNF76_HUMAN;sp|P51814|ZNF41_HUMAN;sp|Q2M218|ZN630_HUMAN;sp|O95125|ZN202_HUMAN;sp|Q8N184|ZN567_HUMAN;sp|P17025|ZN182_HUMAN;sp|Q7Z7L9|ZSCA2_HUMAN;sp|Q9NPC7|MYNN_HUMAN;sp|Q96RE9|ZN300_HUMAN;sp|O95780|ZN682_HUMAN;sp|P52743|ZN137_HUMAN;sp|Q13360|ZN177_HUMAN;sp|Q13887|KLF5_HUMAN;sp|Q8IZC7|ZN101_HUMAN;sp|Q9Y4X4|KLF12_HUMAN;sp|Q9UJN7|ZN391_HUMAN;sp|Q9H4T2|ZSC16_HUMAN;sp|P57682|KLF3_HUMAN;sp|Q96N95|ZN396_HUMAN;sp|O75840|KLF7_HUMAN;sp|Q92618|ZN516_HUMAN,sp|O75362|ZN217_HUMAN;Zinc finger protein 217 OS=Homo sapiens OX=9606 GN=ZNF217 PE=1 SV=1;sp|Q6ZT77|ZN826_HUMAN;Putative zinc finger protein 826 OS=Homo sapiens OX=9606 GN=ZNF826P PE=5 SV=2;sp|P36508|ZNF76_HUMAN;Zinc finger protein 76 OS=Homo sapiens OX=96,0,0,0,,,,,,
O75367,sp|O75367|H2AY_HUMAN,sp|O75367|H2AY_HUMAN;Core histone macro-H2A.1 OS=Homo sapiens OX=9606 GN=MACROH2A1 PE=1 SV=5,5,7,5,0.22428,0.19254,0.24413,-2.1823494577339866,8.251785610442868e-07,7.302830265241938e-05
O75369,sp|O75369|FLNB_HUMAN,sp|O75369|FLNB_HUMAN;Filamin-B OS=Homo sapiens OX=9606 GN=FLNB PE=1 SV=2,0,0,0,,,,,,
O75376,sp|O75376|NCOR1_HUMAN,sp|O75376|NCOR1_HUMAN;Nuclear receptor corepressor 1 OS=Homo sapiens OX=9606 GN=NCOR1 PE=1 SV=2,1,0,1,,,,,,
O75391,sp|O75391|SPAG7_HUMAN,sp|O75391|SPAG7_HUMAN;Sperm-associated antigen 7 OS=Homo sapiens OX=9606 GN=SPAG7 PE=1 SV=2,2,2,2,3.6844,8.2371,7.019,2.6584400104001245,0.017470699889588347,0.02503897878912662
O75396,sp|O75396|SC22B_HUMAN,sp|O75396|SC22B_HUMAN;Vesicle-trafficking protein SEC22b OS=Homo sapiens OX=9606 GN=SEC22B PE=1 SV=5,2,1,2,2.1302,,1.2257,,,
O75400,sp|O75400|PR40A_HUMAN,sp|O75400|PR40A_HUMAN;Pre-mRNA-processing factor 40 homolog A OS=Homo sapiens OX=9606 GN=PRPF40A PE=1 SV=2,7,10,8,1.9289,2.2647,2.1275,1.0752131378164924,0.00034274777826207297,0.002142045246889048
O75419,sp|O75419|CDC45_HUMAN,sp|O75419|CDC45_HUMAN;Cell division control protein 45 homolog OS=Homo sapiens OX=9606 GN=CDC45 PE=1 SV=1,1,2,0,,0.52447,,,,
O75448,sp|O75448|MED24_HUMAN,sp|O75448|MED24_HUMAN;Mediator of RNA polymerase II transcription subunit 24 OS=Homo sapiens OX=9606 GN=MED24 PE=1 SV=1,0,0,1,,,,,,
O75449,sp|O75449|KTNA1_HUMAN,sp|O75449|KTNA1_HUMAN;Katanin p60 ATPase-containing subunit A1 OS=Homo sapiens OX=9606 GN=KATNA1 PE=1 SV=1,0,0,1,,,,,,
O75475,sp|O75475|PSIP1_HUMAN,sp|O75475|PSIP1_HUMAN;PC4 and SFRS1-interacting protein OS=Homo sapiens OX=9606 GN=PSIP1 PE=1 SV=1,12,6,9,2.6331,2.5238,1.7691,1.2070598868139852,0.008535636944940927,0.014286598007135169
O75494,sp|O75494|SRS10_HUMAN;sp|Q8WXF0|SRS12_HUMAN,sp|O75494|SRS10_HUMAN;Serine/arginine-rich splicing factor 10 OS=Homo sapiens OX=9606 GN=SRSF10 PE=1 SV=1;sp|Q8WXF0|SRS12_HUMAN;Serine/arginine-rich splicing factor 12 OS=Homo sapiens OX=9606 GN=SRSF12 PE=2 SV=1,1,1,1,,,,,,
Q8WXF0,sp|O75494|SRS10_HUMAN;sp|Q8WXF0|SRS12_HUMAN,sp|O75494|SRS10_HUMAN;Serine/arginine-rich splicing factor 10 OS=Homo sapiens OX=9606 GN=SRSF10 PE=1 SV=1;sp|Q8WXF0|SRS12_HUMAN;Serine/arginine-rich splicing factor 12 OS=Homo sapiens OX=9606 GN=SRSF12 PE=2 SV=1,1,1,1,,,,,,
O75528,sp|O75528|TADA3_HUMAN,sp|O75528|TADA3_HUMAN;Transcriptional adapter 3 OS=Homo sapiens OX=9606 GN=TADA3 PE=1 SV=1,0,0,0,,,,,,
O75533,sp|O75533|SF3B1_HUMAN,sp|O75533|SF3B1_HUMAN;Splicing factor 3B subunit 1 OS=Homo sapiens OX=9606 GN=SF3B1 PE=1 SV=3,52,47,50,0.95203,0.97804,0.96868,-0.04953158584987722,0.011358329031579992,0.017870437676352522
O75534,sp|O75534|CSDE1_HUMAN,sp|O75534|CSDE1_HUMAN;Cold shock domain-containing protein E1 OS=Homo sapiens OX=9606 GN=CSDE1 PE=1 SV=2,1,1,1,,,,,,
O75554,sp|O75554|WBP4_HUMAN,sp|O75554|WBP4_HUMAN;WW domain-binding protein 4 OS=Homo sapiens OX=9606 GN=WBP4 PE=1 SV=1,0,2,0,,,,,,
O75569,sp|O75569|PRKRA_HUMAN,sp|O75569|PRKRA_HUMAN;Interferon-inducible double-stranded RNA-dependent protein kinase activator A OS=Homo sapiens OX=9606 GN=PRKRA PE=1 SV=1,0,0,0,,,,,,
O75575,sp|O75575|RPC9_HUMAN,sp|O75575|RPC9_HUMAN;DNA-directed RNA polymerase III subunit RPC9 OS=Homo sapiens OX=9606 GN=CRCP PE=1 SV=1,1,2,2,1.4418,2.8065,3.2268,1.3171303787285946,0.050402381599244574,
O75592,sp|O75592|MYCB2_HUMAN,sp|O75592|MYCB2_HUMAN;E3 ubiquitin-protein ligase MYCBP2 OS=Homo sapiens OX=9606 GN=MYCBP2 PE=1 SV=4,0,0,0,,,,,,
O75600,sp|O75600|KBL_HUMAN,"sp|O75600|KBL_HUMAN;2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial OS=Homo sapiens OX=9606 GN=GCAT PE=1 SV=1",0,1,1,,,,,,
O75607,sp|O75607|NPM3_HUMAN,sp|O75607|NPM3_HUMAN;Nucleoplasmin-3 OS=Homo sapiens OX=9606 GN=NPM3 PE=1 SV=3,2,1,1,,,,,,
O75616,sp|O75616|ERAL1_HUMAN,"sp|O75616|ERAL1_HUMAN;GTPase Era, mitochondrial OS=Homo sapiens OX=9606 GN=ERAL1 PE=1 SV=2",0,1,0,,,,,,
O75643,sp|O75643|U520_HUMAN,sp|O75643|U520_HUMAN;U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens OX=9606 GN=SNRNP200 PE=1 SV=2,44,42,46,0.53795,0.59261,0.55523,-0.8315376707449217,1.0931312152681742e-05,0.0003118072330822978
O75648,sp|O75648|MTU1_HUMAN,sp|O75648|MTU1_HUMAN;Mitochondrial tRNA-specific 2-thiouridylase 1 OS=Homo sapiens OX=9606 GN=TRMU PE=1 SV=2,0,0,0,,,,,,
O75663,sp|O75663|TIPRL_HUMAN,sp|O75663|TIPRL_HUMAN;TIP41-like protein OS=Homo sapiens OX=9606 GN=TIPRL PE=1 SV=2,5,1,1,2.3703,,,,,
O75683,sp|O75683|SURF6_HUMAN,sp|O75683|SURF6_HUMAN;Surfeit locus protein 6 OS=Homo sapiens OX=9606 GN=SURF6 PE=1 SV=3,17,18,18,2.8658,3.0523,2.5836,1.5027888506873068,0.0001762143363867915,0.001467761766609981
O75691,sp|O75691|UTP20_HUMAN,sp|O75691|UTP20_HUMAN;Small subunit processome component 20 homolog OS=Homo sapiens OX=9606 GN=UTP20 PE=1 SV=3,25,24,27,0.75309,0.83981,0.68815,-0.39526443023881674,0.00548766489345223,0.01011788214730255
O75694,sp|O75694|NU155_HUMAN,sp|O75694|NU155_HUMAN;Nuclear pore complex protein Nup155 OS=Homo sapiens OX=9606 GN=NUP155 PE=1 SV=1,2,3,2,0.77315,0.83307,0.40545,-0.576568839917118,0.06935746525985582,0.08379707406822172
O75717,sp|O75717|WDHD1_HUMAN,sp|O75717|WDHD1_HUMAN;WD repeat and HMG-box DNA-binding protein 1 OS=Homo sapiens OX=9606 GN=WDHD1 PE=1 SV=1,2,1,0,0.90484,,,,,
O75844,sp|O75844|FACE1_HUMAN,sp|O75844|FACE1_HUMAN;CAAX prenyl protease 1 homolog OS=Homo sapiens OX=9606 GN=ZMPSTE24 PE=1 SV=2,1,0,2,,,,,,
O75925,sp|O75925|PIAS1_HUMAN,sp|O75925|PIAS1_HUMAN;E3 SUMO-protein ligase PIAS1 OS=Homo sapiens OX=9606 GN=PIAS1 PE=1 SV=2,2,2,2,1.818,2.0402,1.5832,0.8590153847994139,0.0035082175275815133,0.007458912941524658
O75937,sp|O75937|DNJC8_HUMAN,sp|O75937|DNJC8_HUMAN;DnaJ homolog subfamily C member 8 OS=Homo sapiens OX=9606 GN=DNAJC8 PE=1 SV=2,1,2,2,,2.6038,1.8118,,,
O75940,sp|O75940|SPF30_HUMAN,sp|O75940|SPF30_HUMAN;Survival of motor neuron-related-splicing factor 30 OS=Homo sapiens OX=9606 GN=SMNDC1 PE=1 SV=1,2,2,2,,3.4755,2.3996,,,
O76021,sp|O76021|RL1D1_HUMAN,sp|O76021|RL1D1_HUMAN;Ribosomal L1 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=RSL1D1 PE=1 SV=3,36,35,39,1.5492,1.3335,1.0858,0.4036313047608042,0.07344388638840636,0.08813266366608763
O76031,sp|O76031|CLPX_HUMAN,"sp|O76031|CLPX_HUMAN;ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial OS=Homo sapiens OX=9606 GN=CLPX PE=1 SV=2",0,1,1,,,,,,
O76094,sp|O76094|SRP72_HUMAN,sp|O76094|SRP72_HUMAN;Signal recognition particle subunit SRP72 OS=Homo sapiens OX=9606 GN=SRP72 PE=1 SV=3,4,4,6,0.79296,1.0442,0.67911,-0.25367576659544594,0.2092194016859559,0.2335443800624295
O94760,sp|O94760|DDAH1_HUMAN,"sp|O94760|DDAH1_HUMAN;N(G),N(G)-dimethylarginine dimethylaminohydrolase 1 OS=Homo sapiens OX=9606 GN=DDAH1 PE=1 SV=3",0,1,0,,,,,,
O94762,sp|O94762|RECQ5_HUMAN,sp|O94762|RECQ5_HUMAN;ATP-dependent DNA helicase Q5 OS=Homo sapiens OX=9606 GN=RECQL5 PE=1 SV=2,0,1,2,,,1.9126,,,
O94776,sp|O94776|MTA2_HUMAN,sp|O94776|MTA2_HUMAN;Metastasis-associated protein MTA2 OS=Homo sapiens OX=9606 GN=MTA2 PE=1 SV=1,0,1,0,,,,,,
O94832,sp|O94832|MYO1D_HUMAN,sp|O94832|MYO1D_HUMAN;Unconventional myosin-Id OS=Homo sapiens OX=9606 GN=MYO1D PE=1 SV=2,0,1,1,,,,,,
O94842,sp|O94842|TOX4_HUMAN,sp|O94842|TOX4_HUMAN;TOX high mobility group box family member 4 OS=Homo sapiens OX=9606 GN=TOX4 PE=1 SV=1,1,0,1,,,,,,
O94874,sp|O94874|UFL1_HUMAN,sp|O94874|UFL1_HUMAN;E3 UFM1-protein ligase 1 OS=Homo sapiens OX=9606 GN=UFL1 PE=1 SV=2,0,1,0,,,,,,
O94880,sp|O94880|PHF14_HUMAN,sp|O94880|PHF14_HUMAN;PHD finger protein 14 OS=Homo sapiens OX=9606 GN=PHF14 PE=1 SV=3,1,1,0,,,,,,
O94906,sp|O94906|PRP6_HUMAN,sp|O94906|PRP6_HUMAN;Pre-mRNA-processing factor 6 OS=Homo sapiens OX=9606 GN=PRPF6 PE=1 SV=1,9,7,6,0.9126,0.73914,0.4739,-0.497065219088594,0.08433963642435217,0.10002087535752319
O94973,sp|O94973|AP2A2_HUMAN,sp|O94973|AP2A2_HUMAN;AP-2 complex subunit alpha-2 OS=Homo sapiens OX=9606 GN=AP2A2 PE=1 SV=2,1,1,0,,,,,,
O94979,sp|O94979|SC31A_HUMAN,sp|O94979|SC31A_HUMAN;Protein transport protein Sec31A OS=Homo sapiens OX=9606 GN=SEC31A PE=1 SV=3,1,0,0,,,,,,
O95076,sp|O95076|ALX3_HUMAN;sp|Q9H161|ALX4_HUMAN;sp|Q96IS3|RAX2_HUMAN;sp|P54821|PRRX1_HUMAN;sp|Q99811|PRRX2_HUMAN;sp|A6NNA5|DRGX_HUMAN;sp|O14813|PHX2A_HUMAN;sp|O15266|SHOX_HUMAN;sp|Q99453|PHX2B_HUMAN;sp|Q5XKR4|OTP_HUMAN;sp|Q15699|ALX1_HUMAN;sp|O60902|SHOX2_HUMAN;sp|Q9Y2V3|RX_HUMAN;sp|Q8N693|ESX1_HUMAN;sp|A6NJT0|UNC4_HUMAN;sp|Q96QS3|ARX_HUMAN,sp|O95076|ALX3_HUMAN;Homeobox protein aristaless-like 3 OS=Homo sapiens OX=9606 GN=ALX3 PE=1 SV=2;sp|Q9H161|ALX4_HUMAN;Homeobox protein aristaless-like 4 OS=Homo sapiens OX=9606 GN=ALX4 PE=1 SV=2;sp|Q96IS3|RAX2_HUMAN;Retina and anterior neural fold homeobo,0,1,0,,,,,,
Q9H161,sp|O95076|ALX3_HUMAN;sp|Q9H161|ALX4_HUMAN;sp|Q96IS3|RAX2_HUMAN;sp|P54821|PRRX1_HUMAN;sp|Q99811|PRRX2_HUMAN;sp|A6NNA5|DRGX_HUMAN;sp|O14813|PHX2A_HUMAN;sp|O15266|SHOX_HUMAN;sp|Q99453|PHX2B_HUMAN;sp|Q5XKR4|OTP_HUMAN;sp|Q15699|ALX1_HUMAN;sp|O60902|SHOX2_HUMAN;sp|Q9Y2V3|RX_HUMAN;sp|Q8N693|ESX1_HUMAN;sp|A6NJT0|UNC4_HUMAN;sp|Q96QS3|ARX_HUMAN,sp|O95076|ALX3_HUMAN;Homeobox protein aristaless-like 3 OS=Homo sapiens OX=9606 GN=ALX3 PE=1 SV=2;sp|Q9H161|ALX4_HUMAN;Homeobox protein aristaless-like 4 OS=Homo sapiens OX=9606 GN=ALX4 PE=1 SV=2;sp|Q96IS3|RAX2_HUMAN;Retina and anterior neural fold homeobo,0,1,0,,,,,,
Q96IS3,sp|O95076|ALX3_HUMAN;sp|Q9H161|ALX4_HUMAN;sp|Q96IS3|RAX2_HUMAN;sp|P54821|PRRX1_HUMAN;sp|Q99811|PRRX2_HUMAN;sp|A6NNA5|DRGX_HUMAN;sp|O14813|PHX2A_HUMAN;sp|O15266|SHOX_HUMAN;sp|Q99453|PHX2B_HUMAN;sp|Q5XKR4|OTP_HUMAN;sp|Q15699|ALX1_HUMAN;sp|O60902|SHOX2_HUMAN;sp|Q9Y2V3|RX_HUMAN;sp|Q8N693|ESX1_HUMAN;sp|A6NJT0|UNC4_HUMAN;sp|Q96QS3|ARX_HUMAN,sp|O95076|ALX3_HUMAN;Homeobox protein aristaless-like 3 OS=Homo sapiens OX=9606 GN=ALX3 PE=1 SV=2;sp|Q9H161|ALX4_HUMAN;Homeobox protein aristaless-like 4 OS=Homo sapiens OX=9606 GN=ALX4 PE=1 SV=2;sp|Q96IS3|RAX2_HUMAN;Retina and anterior neural fold homeobo,0,1,0,,,,,,
P54821,sp|O95076|ALX3_HUMAN;sp|Q9H161|ALX4_HUMAN;sp|Q96IS3|RAX2_HUMAN;sp|P54821|PRRX1_HUMAN;sp|Q99811|PRRX2_HUMAN;sp|A6NNA5|DRGX_HUMAN;sp|O14813|PHX2A_HUMAN;sp|O15266|SHOX_HUMAN;sp|Q99453|PHX2B_HUMAN;sp|Q5XKR4|OTP_HUMAN;sp|Q15699|ALX1_HUMAN;sp|O60902|SHOX2_HUMAN;sp|Q9Y2V3|RX_HUMAN;sp|Q8N693|ESX1_HUMAN;sp|A6NJT0|UNC4_HUMAN;sp|Q96QS3|ARX_HUMAN,sp|O95076|ALX3_HUMAN;Homeobox protein aristaless-like 3 OS=Homo sapiens OX=9606 GN=ALX3 PE=1 SV=2;sp|Q9H161|ALX4_HUMAN;Homeobox protein aristaless-like 4 OS=Homo sapiens OX=9606 GN=ALX4 PE=1 SV=2;sp|Q96IS3|RAX2_HUMAN;Retina and anterior neural fold homeobo,0,1,0,,,,,,
