Entry,Majority protein IDs,Fasta headers,Unique peptides R1,Unique peptides R2,Unique peptides R3,Ratio H/L normalized R1,Ratio H/L normalized R2,Ratio H/L normalized R3,Log2FC,Pvalue,FDR
P30050,sp|P30050|RL12_HUMAN,sp|P30050|RL12_HUMAN;Large ribosomal subunit protein uL11 OS=Homo sapiens OX=9606 GN=RPL12 PE=1 SV=1,3,2,2,0.9227,1.2804,1.5435,0.320619458045234,0.23875455348469143,0.35469651291071064
P30153,sp|P30153|2AAA_HUMAN,sp|P30153|2AAA_HUMAN;Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform OS=Homo sapiens OX=9606 GN=PPP2R1A PE=1 SV=4,1,2,2,,1.0307,1.3519,,,
P30414,sp|P30414|NKTR_HUMAN,sp|P30414|NKTR_HUMAN;NK-tumor recognition protein OS=Homo sapiens OX=9606 GN=NKTR PE=1 SV=2,12,10,12,1.7949,1.5129,1.2875,0.615196548907235,0.02229875505573113,0.06821767287419968
P30536,sp|P30536|TSPO_HUMAN,sp|P30536|TSPO_HUMAN;Translocator protein OS=Homo sapiens OX=9606 GN=TSPO PE=1 SV=3,1,2,2,,0.90319,1.4793,,,
P30566,sp|P30566|PUR8_HUMAN,sp|P30566|PUR8_HUMAN;Adenylosuccinate lyase OS=Homo sapiens OX=9606 GN=ADSL PE=1 SV=2,1,1,1,,,,,,
P30876,sp|P30876|RPB2_HUMAN,sp|P30876|RPB2_HUMAN;DNA-directed RNA polymerase II subunit RPB2 OS=Homo sapiens OX=9606 GN=POLR2B PE=1 SV=1,2,0,0,,,,,,
P31274,sp|P31274|HXC9_HUMAN,sp|P31274|HXC9_HUMAN;Homeobox protein Hox-C9 OS=Homo sapiens OX=9606 GN=HOXC9 PE=1 SV=3,0,0,2,,,,,,
P31942,sp|P31942|HNRH3_HUMAN,sp|P31942|HNRH3_HUMAN;Heterogeneous nuclear ribonucleoprotein H3 OS=Homo sapiens OX=9606 GN=HNRNPH3 PE=1 SV=2,4,3,6,2.8796,2.6504,2.1922,1.3640494189136598,0.0014649284676737692,0.015143518666449678
P31943,sp|P31943|HNRH1_HUMAN,sp|P31943|HNRH1_HUMAN;Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens OX=9606 GN=HNRNPH1 PE=1 SV=4,6,6,6,1.2921,0.9484,1.0768,0.14504698741959926,0.35100252877134136,0.47450892289354746
P32969,sp|P32969|RL9_HUMAN,sp|P32969|RL9_HUMAN;Large ribosomal subunit protein uL6 OS=Homo sapiens OX=9606 GN=RPL9 PE=1 SV=1,10,10,10,0.73928,0.89123,0.81028,-0.2976143264507015,0.013194636292197715,0.04937984705386788
P33240,sp|P33240|CSTF2_HUMAN;sp|Q9H0L4|CSTFT_HUMAN,sp|P33240|CSTF2_HUMAN;Cleavage stimulation factor subunit 2 OS=Homo sapiens OX=9606 GN=CSTF2 PE=1 SV=1;sp|Q9H0L4|CSTFT_HUMAN;Cleavage stimulation factor subunit 2 tau variant OS=Homo sapiens OX=9606 GN=CSTF2T PE=1 SV=1,2,4,2,,0.35179,0.48372,,,
Q9H0L4,sp|P33240|CSTF2_HUMAN;sp|Q9H0L4|CSTFT_HUMAN,sp|P33240|CSTF2_HUMAN;Cleavage stimulation factor subunit 2 OS=Homo sapiens OX=9606 GN=CSTF2 PE=1 SV=1;sp|Q9H0L4|CSTFT_HUMAN;Cleavage stimulation factor subunit 2 tau variant OS=Homo sapiens OX=9606 GN=CSTF2T PE=1 SV=1,2,4,2,,0.35179,0.48372,,,
P33947,sp|P33947|ERD22_HUMAN;sp|P24390|ERD21_HUMAN,sp|P33947|ERD22_HUMAN;ER lumen protein-retaining receptor 2 OS=Homo sapiens OX=9606 GN=KDELR2 PE=1 SV=1;sp|P24390|ERD21_HUMAN;ER lumen protein-retaining receptor 1 OS=Homo sapiens OX=9606 GN=KDELR1 PE=1 SV=1,0,2,1,,,,,,
P24390,sp|P33947|ERD22_HUMAN;sp|P24390|ERD21_HUMAN,sp|P33947|ERD22_HUMAN;ER lumen protein-retaining receptor 2 OS=Homo sapiens OX=9606 GN=KDELR2 PE=1 SV=1;sp|P24390|ERD21_HUMAN;ER lumen protein-retaining receptor 1 OS=Homo sapiens OX=9606 GN=KDELR1 PE=1 SV=1,0,2,1,,,,,,
P33991,sp|P33991|MCM4_HUMAN,sp|P33991|MCM4_HUMAN;DNA replication licensing factor MCM4 OS=Homo sapiens OX=9606 GN=MCM4 PE=1 SV=5,8,7,7,0.86406,0.8395,1.1286,-0.08305972940824997,0.5781047877391514,0.6950721319833174
P33992,sp|P33992|MCM5_HUMAN,sp|P33992|MCM5_HUMAN;DNA replication licensing factor MCM5 OS=Homo sapiens OX=9606 GN=MCM5 PE=1 SV=5,4,8,6,1.265,1.305,1.0202,0.25910171407123106,0.09162394267700215,0.17559484141810622
P33993,sp|P33993|MCM7_HUMAN,sp|P33993|MCM7_HUMAN;DNA replication licensing factor MCM7 OS=Homo sapiens OX=9606 GN=MCM7 PE=1 SV=4,24,19,15,0.79525,0.88649,0.8523,-0.24352320301979277,0.004295880537359366,0.026284424621176566
P35222,sp|P35222|CTNB1_HUMAN,sp|P35222|CTNB1_HUMAN;Catenin beta-1 OS=Homo sapiens OX=9606 GN=CTNNB1 PE=1 SV=1,1,2,1,,1.481,,,,
P35226,sp|P35226|BMI1_HUMAN;sp|P35227|PCGF2_HUMAN,sp|P35226|BMI1_HUMAN;Polycomb complex protein BMI-1 OS=Homo sapiens OX=9606 GN=BMI1 PE=1 SV=2;sp|P35227|PCGF2_HUMAN;Polycomb group RING finger protein 2 OS=Homo sapiens OX=9606 GN=PCGF2 PE=1 SV=1,1,1,1,,,,,,
P35227,sp|P35226|BMI1_HUMAN;sp|P35227|PCGF2_HUMAN,sp|P35226|BMI1_HUMAN;Polycomb complex protein BMI-1 OS=Homo sapiens OX=9606 GN=BMI1 PE=1 SV=2;sp|P35227|PCGF2_HUMAN;Polycomb group RING finger protein 2 OS=Homo sapiens OX=9606 GN=PCGF2 PE=1 SV=1,1,1,1,,,,,,
P35232,sp|P35232|PHB1_HUMAN,sp|P35232|PHB1_HUMAN;Prohibitin 1 OS=Homo sapiens OX=9606 GN=PHB1 PE=1 SV=1,3,6,4,0.97288,1.1845,1.3234,0.21444813180091868,0.1909230739731154,0.3044449017409137
P35249,sp|P35249|RFC4_HUMAN,sp|P35249|RFC4_HUMAN;Replication factor C subunit 4 OS=Homo sapiens OX=9606 GN=RFC4 PE=1 SV=2,0,1,2,,,,,,
P35250,sp|P35250|RFC2_HUMAN,sp|P35250|RFC2_HUMAN;Replication factor C subunit 2 OS=Homo sapiens OX=9606 GN=RFC2 PE=1 SV=3,2,1,1,1.0343,,,,,
P35251,sp|P35251|RFC1_HUMAN,sp|P35251|RFC1_HUMAN;Replication factor C subunit 1 OS=Homo sapiens OX=9606 GN=RFC1 PE=1 SV=4,4,4,10,0.80025,0.74392,1.0074,-0.23357727943076806,0.13545924014848887,0.23655249970962328
P35268,sp|P35268|RL22_HUMAN,sp|P35268|RL22_HUMAN;Large ribosomal subunit protein eL22 OS=Homo sapiens OX=9606 GN=RPL22 PE=1 SV=2,3,4,2,1.2901,1.0875,0.79453,0.08048939595509064,0.7103684249589143,0.8059949437033835
P35269,sp|P35269|T2FA_HUMAN,sp|P35269|T2FA_HUMAN;General transcription factor IIF subunit 1 OS=Homo sapiens OX=9606 GN=GTF2F1 PE=1 SV=2,4,3,3,0.72618,,,,,
P35453,sp|P35453|HXD13_HUMAN,sp|P35453|HXD13_HUMAN;Homeobox protein Hox-D13 OS=Homo sapiens OX=9606 GN=HOXD13 PE=1 SV=3,1,1,1,,,,,,
P35579,sp|P35579|MYH9_HUMAN,sp|P35579|MYH9_HUMAN;Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4,17,18,18,0.8017,1.0461,0.69188,-0.24031577202947277,0.21659963899900112,0.3344136482489251
P35580,sp|P35580|MYH10_HUMAN,sp|P35580|MYH10_HUMAN;Myosin-10 OS=Homo sapiens OX=9606 GN=MYH10 PE=1 SV=3,6,5,9,1.09,0.90024,0.71601,-0.14866738088179376,0.415740640609234,0.5407901876271296
P35606,sp|P35606|COPB2_HUMAN,sp|P35606|COPB2_HUMAN;Coatomer subunit beta OS=Homo sapiens OX=9606 GN=COPB2 PE=1 SV=2,1,1,2,,,,,,
P35637,sp|P35637|FUS_HUMAN,sp|P35637|FUS_HUMAN;RNA-binding protein FUS OS=Homo sapiens OX=9606 GN=FUS PE=1 SV=1,2,5,5,1.3248,2.0947,1.9569,0.8416779767833044,0.028783954222619552,0.08032279117528293
P35659,sp|P35659|DEK_HUMAN,sp|P35659|DEK_HUMAN;Protein DEK OS=Homo sapiens OX=9606 GN=DEK PE=1 SV=1,1,2,3,,2.3604,1.2762,,,
P36404,sp|P36404|ARL2_HUMAN,sp|P36404|ARL2_HUMAN;ADP-ribosylation factor-like protein 2 OS=Homo sapiens OX=9606 GN=ARL2 PE=1 SV=4,0,1,0,,,,,,
P36406,sp|P36406|TRI23_HUMAN,sp|P36406|TRI23_HUMAN;E3 ubiquitin-protein ligase TRIM23 OS=Homo sapiens OX=9606 GN=TRIM23 PE=1 SV=1,0,1,1,,,,,,
Q02750,sp|Q02750|MP2K1_HUMAN;sp|P36507|MP2K2_HUMAN,sp|Q02750|MP2K1_HUMAN;Dual specificity mitogen-activated protein kinase kinase 1 OS=Homo sapiens OX=9606 GN=MAP2K1 PE=1 SV=2;sp|P36507|MP2K2_HUMAN;Dual specificity mitogen-activated protein kinase kinase 2 OS=Homo sapiens OX=9606 GN=MAP2K2 PE=1 SV=1,0,2,1,,1.1477,,,,
P36507,sp|Q02750|MP2K1_HUMAN;sp|P36507|MP2K2_HUMAN,sp|Q02750|MP2K1_HUMAN;Dual specificity mitogen-activated protein kinase kinase 1 OS=Homo sapiens OX=9606 GN=MAP2K1 PE=1 SV=2;sp|P36507|MP2K2_HUMAN;Dual specificity mitogen-activated protein kinase kinase 2 OS=Homo sapiens OX=9606 GN=MAP2K2 PE=1 SV=1,0,2,1,,1.1477,,,,
P36542,sp|P36542|ATPG_HUMAN,"sp|P36542|ATPG_HUMAN;ATP synthase subunit gamma, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1C PE=1 SV=1",5,6,6,1.1535,0.88535,1.3003,0.1545184023221147,0.4047402976942218,0.5289801992016253
P36578,sp|P36578|RL4_HUMAN,sp|P36578|RL4_HUMAN;Large ribosomal subunit protein uL4 OS=Homo sapiens OX=9606 GN=RPL4 PE=1 SV=5,13,15,12,1.0609,0.90501,0.86115,-0.0856599982440109,0.3954114964176326,0.5209089251052066
P36776,sp|P36776|LONM_HUMAN,"sp|P36776|LONM_HUMAN;Lon protease homolog, mitochondrial OS=Homo sapiens OX=9606 GN=LONP1 PE=1 SV=2",3,2,2,1.1273,,0.85995,,,
P36873,sp|P36873|PP1G_HUMAN;sp|P62136|PP1A_HUMAN,sp|P36873|PP1G_HUMAN;Serine/threonine-protein phosphatase PP1-gamma catalytic subunit OS=Homo sapiens OX=9606 GN=PPP1CC PE=1 SV=1;sp|P62136|PP1A_HUMAN;Serine/threonine-protein phosphatase PP1-alpha catalytic subunit OS=Homo sapiens OX=9606 GN=PPP1CA PE=1 S,4,5,5,2.3132,1.9667,1.9495,1.054130712494379,0.0008134194491175389,0.009880653896633633
P62136,sp|P36873|PP1G_HUMAN;sp|P62136|PP1A_HUMAN,sp|P36873|PP1G_HUMAN;Serine/threonine-protein phosphatase PP1-gamma catalytic subunit OS=Homo sapiens OX=9606 GN=PPP1CC PE=1 SV=1;sp|P62136|PP1A_HUMAN;Serine/threonine-protein phosphatase PP1-alpha catalytic subunit OS=Homo sapiens OX=9606 GN=PPP1CA PE=1 S,4,5,5,2.3132,1.9667,1.9495,1.054130712494379,0.0008134194491175389,0.009880653896633633
P36915,sp|P36915|GNL1_HUMAN,sp|P36915|GNL1_HUMAN;Guanine nucleotide-binding protein-like 1 OS=Homo sapiens OX=9606 GN=GNL1 PE=1 SV=2,1,1,1,,,,,,
P37108,sp|P37108|SRP14_HUMAN,sp|P37108|SRP14_HUMAN;Signal recognition particle 14 kDa protein OS=Homo sapiens OX=9606 GN=SRP14 PE=1 SV=2,3,3,3,2.7974,2.4918,1.364,1.1490859021062567,0.04912676087228423,0.11209586873068168
P37802,sp|P37802|TAGL2_HUMAN,sp|P37802|TAGL2_HUMAN;Transgelin-2 OS=Homo sapiens OX=9606 GN=TAGLN2 PE=1 SV=3,13,14,14,3.6282,3.3447,1.3888,1.4788337827617914,0.06406793037570108,0.136392037346209
P37840,sp|P37840|SYUA_HUMAN,sp|P37840|SYUA_HUMAN;Alpha-synuclein OS=Homo sapiens OX=9606 GN=SNCA PE=1 SV=1,0,4,4,,1.736,1.1093,,,
P38159,sp|P38159|RBMX_HUMAN;sp|Q96E39|RMXL1_HUMAN,"sp|P38159|RBMX_HUMAN;RNA-binding motif protein, X chromosome OS=Homo sapiens OX=9606 GN=RBMX PE=1 SV=3;sp|Q96E39|RMXL1_HUMAN;RNA binding motif protein, X-linked-like-1 OS=Homo sapiens OX=9606 GN=RBMXL1 PE=1 SV=1",6,4,7,1.6558,3.2607,2.1579,1.237645293339093,0.04568325203754761,0.10696081293226223
Q96E39,sp|P38159|RBMX_HUMAN;sp|Q96E39|RMXL1_HUMAN,"sp|P38159|RBMX_HUMAN;RNA-binding motif protein, X chromosome OS=Homo sapiens OX=9606 GN=RBMX PE=1 SV=3;sp|Q96E39|RMXL1_HUMAN;RNA binding motif protein, X-linked-like-1 OS=Homo sapiens OX=9606 GN=RBMXL1 PE=1 SV=1",6,4,7,1.6558,3.2607,2.1579,1.237645293339093,0.04568325203754761,0.10696081293226223
P38398,sp|P38398|BRCA1_HUMAN,sp|P38398|BRCA1_HUMAN;Breast cancer type 1 susceptibility protein OS=Homo sapiens OX=9606 GN=BRCA1 PE=1 SV=2,11,11,12,0.69074,0.9824,0.89203,-0.22590806084210285,0.16796606356442934,0.2780360090264902
P38432,sp|P38432|COIL_HUMAN,sp|P38432|COIL_HUMAN;Coilin OS=Homo sapiens OX=9606 GN=COIL PE=1 SV=1,13,13,13,0.67008,0.74128,0.96079,-0.3387672608988075,0.07498759954326022,0.1503371801347141
P38606,sp|P38606|VATA_HUMAN,sp|P38606|VATA_HUMAN;V-type proton ATPase catalytic subunit A OS=Homo sapiens OX=9606 GN=ATP6V1A PE=1 SV=2,0,1,0,,,,,,
P38919,sp|P38919|IF4A3_HUMAN,sp|P38919|IF4A3_HUMAN;Eukaryotic initiation factor 4A-III OS=Homo sapiens OX=9606 GN=EIF4A3 PE=1 SV=4,11,12,10,0.9985,1.0712,1.4634,0.235972082773581,0.28583903741600686,0.40017465238240957
P39019,sp|P39019|RS19_HUMAN,sp|P39019|RS19_HUMAN;Small ribosomal subunit protein eS19 OS=Homo sapiens OX=9606 GN=RPS19 PE=1 SV=2,1,2,1,,1.9878,,,,
P39023,sp|P39023|RL3_HUMAN,sp|P39023|RL3_HUMAN;Large ribosomal subunit protein uL3 OS=Homo sapiens OX=9606 GN=RPL3 PE=1 SV=2,16,17,18,0.88673,0.86111,0.8907,-0.1852226459131843,0.00020242973496168804,0.0047773417450958375
P39210,sp|P39210|MPV17_HUMAN,sp|P39210|MPV17_HUMAN;Protein Mpv17 OS=Homo sapiens OX=9606 GN=MPV17 PE=1 SV=1,1,1,1,,,,,,
P39748,sp|P39748|FEN1_HUMAN,sp|P39748|FEN1_HUMAN;Flap endonuclease 1 OS=Homo sapiens OX=9606 GN=FEN1 PE=1 SV=1,8,6,6,1.6449,1.5672,1.2669,0.5782141654724543,0.012872970747792875,0.048806752048416675
P40227,sp|P40227|TCPZ_HUMAN,sp|P40227|TCPZ_HUMAN;T-complex protein 1 subunit zeta OS=Homo sapiens OX=9606 GN=CCT6A PE=1 SV=3,12,13,13,0.94485,1.1969,1.0233,0.07726579014328694,0.5010385021655558,0.621408112295419
Q9BYU1,sp|Q9BYU1|PBX4_HUMAN;sp|P40425|PBX2_HUMAN;sp|P40426|PBX3_HUMAN,sp|Q9BYU1|PBX4_HUMAN;Pre-B-cell leukemia transcription factor 4 OS=Homo sapiens OX=9606 GN=PBX4 PE=1 SV=2;sp|P40425|PBX2_HUMAN;Pre-B-cell leukemia transcription factor 2 OS=Homo sapiens OX=9606 GN=PBX2 PE=1 SV=2;sp|P40426|PBX3_HUMAN;Pre-B-cell leukemia tra,1,0,0,,,,,,
P40425,sp|Q9BYU1|PBX4_HUMAN;sp|P40425|PBX2_HUMAN;sp|P40426|PBX3_HUMAN,sp|Q9BYU1|PBX4_HUMAN;Pre-B-cell leukemia transcription factor 4 OS=Homo sapiens OX=9606 GN=PBX4 PE=1 SV=2;sp|P40425|PBX2_HUMAN;Pre-B-cell leukemia transcription factor 2 OS=Homo sapiens OX=9606 GN=PBX2 PE=1 SV=2;sp|P40426|PBX3_HUMAN;Pre-B-cell leukemia tra,1,0,0,,,,,,
P40426,sp|Q9BYU1|PBX4_HUMAN;sp|P40425|PBX2_HUMAN;sp|P40426|PBX3_HUMAN,sp|Q9BYU1|PBX4_HUMAN;Pre-B-cell leukemia transcription factor 4 OS=Homo sapiens OX=9606 GN=PBX4 PE=1 SV=2;sp|P40425|PBX2_HUMAN;Pre-B-cell leukemia transcription factor 2 OS=Homo sapiens OX=9606 GN=PBX2 PE=1 SV=2;sp|P40426|PBX3_HUMAN;Pre-B-cell leukemia tra,1,0,0,,,,,,
Q6NVV1,sp|Q6NVV1|R13P3_HUMAN;sp|P40429|RL13A_HUMAN,sp|Q6NVV1|R13P3_HUMAN;Putative ribosomal protein uL13-like OS=Homo sapiens OX=9606 GN=RPL13AP3 PE=5 SV=1;sp|P40429|RL13A_HUMAN;Large ribosomal subunit protein uL13 OS=Homo sapiens OX=9606 GN=RPL13A PE=1 SV=2,1,1,0,,,,,,
P40429,sp|Q6NVV1|R13P3_HUMAN;sp|P40429|RL13A_HUMAN,sp|Q6NVV1|R13P3_HUMAN;Putative ribosomal protein uL13-like OS=Homo sapiens OX=9606 GN=RPL13AP3 PE=5 SV=1;sp|P40429|RL13A_HUMAN;Large ribosomal subunit protein uL13 OS=Homo sapiens OX=9606 GN=RPL13A PE=1 SV=2,1,1,0,,,,,,
P40616,sp|P40616|ARL1_HUMAN,sp|P40616|ARL1_HUMAN;ADP-ribosylation factor-like protein 1 OS=Homo sapiens OX=9606 GN=ARL1 PE=1 SV=1,3,1,2,0.94046,0.88431,1.2419,0.0317104278732697,0.8511200386604266,
P40692,sp|P40692|MLH1_HUMAN,sp|P40692|MLH1_HUMAN;DNA mismatch repair protein Mlh1 OS=Homo sapiens OX=9606 GN=MLH1 PE=1 SV=1,2,0,0,,,,,,
P40937,sp|P40937|RFC5_HUMAN,sp|P40937|RFC5_HUMAN;Replication factor C subunit 5 OS=Homo sapiens OX=9606 GN=RFC5 PE=1 SV=1,1,0,2,,,0.89469,,,
P40938,sp|P40938|RFC3_HUMAN,sp|P40938|RFC3_HUMAN;Replication factor C subunit 3 OS=Homo sapiens OX=9606 GN=RFC3 PE=1 SV=2,3,5,3,1.0296,1.2923,1.3306,0.2839217723076175,0.08301251848084203,0.16248421863785667
P40939,sp|P40939|ECHA_HUMAN,"sp|P40939|ECHA_HUMAN;Trifunctional enzyme subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=HADHA PE=1 SV=2",1,2,2,0.69178,,0.86862,,,
P41091,sp|P41091|IF2G_HUMAN;sp|Q2VIR3|IF2GL_HUMAN,sp|P41091|IF2G_HUMAN;Eukaryotic translation initiation factor 2 subunit 3 OS=Homo sapiens OX=9606 GN=EIF2S3 PE=1 SV=3;sp|Q2VIR3|IF2GL_HUMAN;Eukaryotic translation initiation factor 2 subunit 3B OS=Homo sapiens OX=9606 GN=EIF2S3B PE=2 SV=2,8,8,6,0.80776,0.9088,1.182,-0.04962615110785632,0.7773480373168065,0.8415327376457171
Q2VIR3,sp|P41091|IF2G_HUMAN;sp|Q2VIR3|IF2GL_HUMAN,sp|P41091|IF2G_HUMAN;Eukaryotic translation initiation factor 2 subunit 3 OS=Homo sapiens OX=9606 GN=EIF2S3 PE=1 SV=3;sp|Q2VIR3|IF2GL_HUMAN;Eukaryotic translation initiation factor 2 subunit 3B OS=Homo sapiens OX=9606 GN=EIF2S3B PE=2 SV=2,8,8,6,0.80776,0.9088,1.182,-0.04962615110785632,0.7773480373168065,0.8415327376457171
Q6NXS1,sp|Q6NXS1|IPP2B_HUMAN;sp|P41236|IPP2_HUMAN,sp|Q6NXS1|IPP2B_HUMAN;Protein phosphatase inhibitor 2 family member B OS=Homo sapiens OX=9606 GN=PPP1R2B PE=1 SV=2;sp|P41236|IPP2_HUMAN;Protein phosphatase inhibitor 2 OS=Homo sapiens OX=9606 GN=PPP1R2 PE=1 SV=2,1,1,1,,,,,,
P41236,sp|Q6NXS1|IPP2B_HUMAN;sp|P41236|IPP2_HUMAN,sp|Q6NXS1|IPP2B_HUMAN;Protein phosphatase inhibitor 2 family member B OS=Homo sapiens OX=9606 GN=PPP1R2B PE=1 SV=2;sp|P41236|IPP2_HUMAN;Protein phosphatase inhibitor 2 OS=Homo sapiens OX=9606 GN=PPP1R2 PE=1 SV=2,1,1,1,,,,,,
P41240,sp|P41240|CSK_HUMAN;sp|P42679|MATK_HUMAN,sp|P41240|CSK_HUMAN;Tyrosine-protein kinase CSK OS=Homo sapiens OX=9606 GN=CSK PE=1 SV=1;sp|P42679|MATK_HUMAN;Megakaryocyte-associated tyrosine-protein kinase OS=Homo sapiens OX=9606 GN=MATK PE=1 SV=1,0,1,0,,,,,,
P42679,sp|P41240|CSK_HUMAN;sp|P42679|MATK_HUMAN,sp|P41240|CSK_HUMAN;Tyrosine-protein kinase CSK OS=Homo sapiens OX=9606 GN=CSK PE=1 SV=1;sp|P42679|MATK_HUMAN;Megakaryocyte-associated tyrosine-protein kinase OS=Homo sapiens OX=9606 GN=MATK PE=1 SV=1,0,1,0,,,,,,
P41250,sp|P41250|GARS_HUMAN,sp|P41250|GARS_HUMAN;Glycine--tRNA ligase OS=Homo sapiens OX=9606 GN=GARS1 PE=1 SV=3,0,0,1,,,,,,
P41252,sp|P41252|SYIC_HUMAN,"sp|P41252|SYIC_HUMAN;Isoleucine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=IARS1 PE=1 SV=2",25,22,25,1.076,1.0254,0.74911,-0.07374243805912661,0.6494556995217984,0.7555639546549373
P61163,sp|P61163|ACTZ_HUMAN;sp|P42025|ACTY_HUMAN,sp|P61163|ACTZ_HUMAN;Alpha-centractin OS=Homo sapiens OX=9606 GN=ACTR1A PE=1 SV=1;sp|P42025|ACTY_HUMAN;Beta-centractin OS=Homo sapiens OX=9606 GN=ACTR1B PE=1 SV=1,1,1,2,,,,,,
P42025,sp|P61163|ACTZ_HUMAN;sp|P42025|ACTY_HUMAN,sp|P61163|ACTZ_HUMAN;Alpha-centractin OS=Homo sapiens OX=9606 GN=ACTR1A PE=1 SV=1;sp|P42025|ACTY_HUMAN;Beta-centractin OS=Homo sapiens OX=9606 GN=ACTR1B PE=1 SV=1,1,1,2,,,,,,
P42166,sp|P42166|LAP2A_HUMAN,"sp|P42166|LAP2A_HUMAN;Lamina-associated polypeptide 2, isoform alpha OS=Homo sapiens OX=9606 GN=TMPO PE=1 SV=2",3,3,4,0.50637,0.75974,0.65697,-0.6415437207773049,0.008166324679066136,0.03665969665711211
P42167,sp|P42167|LAP2B_HUMAN,"sp|P42167|LAP2B_HUMAN;Lamina-associated polypeptide 2, isoforms beta/gamma OS=Homo sapiens OX=9606 GN=TMPO PE=1 SV=2",9,9,9,0.85678,1.1339,1.0938,0.04006479103460027,0.7609996234772616,0.8336680225360983
P42285,sp|P42285|MTREX_HUMAN,sp|P42285|MTREX_HUMAN;Exosome RNA helicase MTR4 OS=Homo sapiens OX=9606 GN=MTREX PE=1 SV=3,12,11,13,1.2798,1.17,1.0149,0.2077679375721703,0.11403855272219406,0.2083978861693192
P42345,sp|P42345|MTOR_HUMAN,sp|P42345|MTOR_HUMAN;Serine/threonine-protein kinase mTOR OS=Homo sapiens OX=9606 GN=MTOR PE=1 SV=1,2,1,2,0.9732,,0.5925,,,
P42356,sp|P42356|PI4KA_HUMAN,sp|P42356|PI4KA_HUMAN;Phosphatidylinositol 4-kinase alpha OS=Homo sapiens OX=9606 GN=PI4KA PE=1 SV=4,2,1,2,0.92454,,,,,
P42677,sp|P42677|RS27_HUMAN,sp|P42677|RS27_HUMAN;Small ribosomal subunit protein eS27 OS=Homo sapiens OX=9606 GN=RPS27 PE=1 SV=3,2,1,1,0.81665,0.81924,0.73462,-0.33976502163281136,0.0016473701699376334,
P42695,sp|P42695|CNDD3_HUMAN,sp|P42695|CNDD3_HUMAN;Condensin-2 complex subunit D3 OS=Homo sapiens OX=9606 GN=NCAPD3 PE=1 SV=2,4,4,4,0.90734,0.9741,0.6505,-0.24471928344624547,0.188879527290348,0.30235366190276636
P42696,sp|P42696|RBM34_HUMAN,sp|P42696|RBM34_HUMAN;RNA-binding protein 34 OS=Homo sapiens OX=9606 GN=RBM34 PE=1 SV=2,23,22,23,2.9169,2.0909,2.2409,1.2727597810654705,0.005074937863473981,0.028909646036065578
P42704,sp|P42704|LPPRC_HUMAN,"sp|P42704|LPPRC_HUMAN;Leucine-rich PPR motif-containing protein, mitochondrial OS=Homo sapiens OX=9606 GN=LRPPRC PE=1 SV=3",11,15,8,1.1737,1.2326,1.2141,0.27118660159725294,0.0002864032638226903,0.00554309134694881
P42766,sp|P42766|RL35_HUMAN,sp|P42766|RL35_HUMAN;Large ribosomal subunit protein uL29 OS=Homo sapiens OX=9606 GN=RPL35 PE=1 SV=2,1,1,1,,,,,,
P42858,sp|P42858|HD_HUMAN,sp|P42858|HD_HUMAN;Huntingtin OS=Homo sapiens OX=9606 GN=HTT PE=1 SV=2,1,0,0,,,,,,
P43243,sp|P43243|MATR3_HUMAN,sp|P43243|MATR3_HUMAN;Matrin-3 OS=Homo sapiens OX=9606 GN=MATR3 PE=1 SV=2,19,21,16,1.0696,1.2645,1.354,0.29791527314484556,0.052338385661920575,0.11747691999115868
P43246,sp|P43246|MSH2_HUMAN,sp|P43246|MSH2_HUMAN;DNA mismatch repair protein Msh2 OS=Homo sapiens OX=9606 GN=MSH2 PE=1 SV=1,4,6,4,0.95777,0.97977,0.98072,-0.039854075998426795,0.022071864825957313,0.06802746397851023
P43490,sp|P43490|NAMPT_HUMAN,sp|P43490|NAMPT_HUMAN;Nicotinamide phosphoribosyltransferase OS=Homo sapiens OX=9606 GN=NAMPT PE=1 SV=1,2,3,2,0.68613,0.70091,0.80567,-0.45224748179102875,0.0020224836302381176,0.0181583856367031
P43694,sp|P43694|GATA4_HUMAN,sp|P43694|GATA4_HUMAN;Transcription factor GATA-4 OS=Homo sapiens OX=9606 GN=GATA4 PE=1 SV=2,1,3,3,,1.4693,2.1023,,,
P45880,sp|P45880|VDAC2_HUMAN,sp|P45880|VDAC2_HUMAN;Voltage-dependent anion-selective channel protein 2 OS=Homo sapiens OX=9606 GN=VDAC2 PE=1 SV=2,4,7,7,1.2215,1.4334,1.3009,0.399006986472397,0.00672238043854516,0.033449917121917486
P45973,sp|P45973|CBX5_HUMAN,sp|P45973|CBX5_HUMAN;Chromobox protein homolog 5 OS=Homo sapiens OX=9606 GN=CBX5 PE=1 SV=1,1,1,2,,1.1191,2.0041,,,
P46013,sp|P46013|KI67_HUMAN,sp|P46013|KI67_HUMAN;Proliferation marker protein Ki-67 OS=Homo sapiens OX=9606 GN=MKI67 PE=1 SV=2,116,132,118,0.75008,0.76691,0.91853,-0.30073267037287255,0.02461199006526439,0.07304526500736314
